polling_station_code,center_code,center_name,center_display,bureau_code,registered,segment
BONOUA-010-BV01,010,EPP SAMO,010 - EPP SAMO,BV01,401,COMMUNE
BONOUA-010-BV02,010,EPP SAMO,010 - EPP SAMO,BV02,401,COMMUNE
BONOUA-010-BV03,010,EPP SAMO,010 - EPP SAMO,BV03,401,COMMUNE
BONOUA-010-BV04,010,EPP SAMO,010 - EPP SAMO,BV04,401,COMMUNE
BONOUA-010-BV05,010,EPP SAMO,010 - EPP SAMO,BV05,401,COMMUNE
BONOUA-010-BV06,010,EPP SAMO,010 - EPP SAMO,BV06,401,COMMUNE
BONOUA-010-BV07,010,EPP SAMO,010 - EPP SAMO,BV07,400,COMMUNE
BONOUA-010-BV08,010,EPP SAMO,010 - EPP SAMO,BV08,400,COMMUNE
BONOUA-010-BV09,010,EPP SAMO,010 - EPP SAMO,BV09,400,COMMUNE
BONOUA-011-BV01,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV01,395,COMMUNE
BONOUA-011-BV02,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV02,395,COMMUNE
BONOUA-011-BV03,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV03,395,COMMUNE
BONOUA-011-BV04,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV04,395,COMMUNE
BONOUA-011-BV05,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV05,395,COMMUNE
BONOUA-011-BV06,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV06,395,COMMUNE
BONOUA-011-BV07,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV07,395,COMMUNE
BONOUA-011-BV08,011,EPP YAHOU A ET B,011 - EPP YAHOU A ET B,BV08,395,COMMUNE
BONOUA-012-BV01,012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,BV01,411,COMMUNE
BONOUA-012-BV02,012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,BV02,411,COMMUNE
BONOUA-012-BV03,012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,BV03,410,COMMUNE
BONOUA-012-BV04,012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,BV04,410,COMMUNE
BONOUA-012-BV05,012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,BV05,410,COMMUNE
BONOUA-012-BV06,012,EPP HARRIS 1-2,012 - EPP HARRIS 1-2,BV06,410,COMMUNE
BONOUA-013-BV01,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV01,414,COMMUNE
BONOUA-013-BV02,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV02,414,COMMUNE
BONOUA-013-BV03,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV03,414,COMMUNE
BONOUA-013-BV04,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV04,413,COMMUNE
BONOUA-013-BV05,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV05,413,COMMUNE
BONOUA-013-BV06,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV06,413,COMMUNE
BONOUA-014-BV01,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV01,421,COMMUNE
BONOUA-014-BV02,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV02,421,COMMUNE
BONOUA-014-BV03,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV03,420,COMMUNE
BONOUA-014-BV04,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV04,420,COMMUNE
BONOUA-014-BV05,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV05,420,COMMUNE
BONOUA-015-BV01,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV01,407,COMMUNE
BONOUA-015-BV02,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV02,407,COMMUNE
BONOUA-015-BV03,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV03,407,COMMUNE
BONOUA-015-BV04,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV04,407,COMMUNE
BONOUA-015-BV05,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV05,406,COMMUNE
BONOUA-016-BV01,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV01,391,COMMUNE
BONOUA-016-BV02,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV02,391,COMMUNE
BONOUA-016-BV03,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV03,390,COMMUNE
BONOUA-016-BV04,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV04,390,COMMUNE
BONOUA-016-BV05,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV05,390,COMMUNE
BONOUA-017-BV01,017,PLACE PUBLIQUE KODJOBOUE,017 - PLACE PUBLIQUE KODJOBOUE,BV01,399,COMMUNE
BONOUA-017-BV02,017,PLACE PUBLIQUE KODJOBOUE,017 - PLACE PUBLIQUE KODJOBOUE,BV02,398,COMMUNE
BONOUA-018-BV01,018,COLLEGE JESUS-MARIE,018 - COLLEGE JESUS-MARIE,BV01,395,COMMUNE
BONOUA-018-BV02,018,COLLEGE JESUS-MARIE,018 - COLLEGE JESUS-MARIE,BV02,395,COMMUNE
BONOUA-019-BV01,019,EPP ANDRE MAUD,019 - EPP ANDRE MAUD,BV01,425,COMMUNE
BONOUA-020-BV01,020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,BV01,374,COMMUNE
BONOUA-020-BV02,020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,BV02,374,COMMUNE
