polling_station_code,center_code,center_name,center_display,bureau_code,registered,segment
BONOUA-013-BV01,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV01,384,COMMUNE
BONOUA-013-BV02,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV02,384,COMMUNE
BONOUA-013-BV03,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV03,384,COMMUNE
BONOUA-013-BV04,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV04,384,COMMUNE
BONOUA-013-BV05,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV05,378,COMMUNE
BONOUA-013-BV06,013,GROUPE SCOLAIRE OBROU KOUASSI,013 - GROUPE SCOLAIRE OBROU KOUASSI,BV06,376,COMMUNE
BONOUA-014-BV01,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV01,408,COMMUNE
BONOUA-014-BV02,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV02,400,COMMUNE
BONOUA-014-BV03,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV03,400,COMMUNE
BONOUA-014-BV04,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV04,400,COMMUNE
BONOUA-014-BV05,014,COLLEGE CHRIST-ROI,014 - COLLEGE CHRIST-ROI,BV05,400,COMMUNE
BONOUA-015-BV01,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV01,392,COMMUNE
BONOUA-015-BV02,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV02,392,COMMUNE
BONOUA-015-BV03,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV03,392,COMMUNE
BONOUA-015-BV04,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV04,392,COMMUNE
BONOUA-015-BV05,015,GROUPE SCOLAIRE EMMANUEL,015 - GROUPE SCOLAIRE EMMANUEL,BV05,384,COMMUNE
BONOUA-016-BV01,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV01,376,COMMUNE
BONOUA-016-BV02,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV02,370,COMMUNE
BONOUA-016-BV03,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV03,368,COMMUNE
BONOUA-016-BV04,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV04,368,COMMUNE
BONOUA-016-BV05,016,EPP AMETHIER JEAN BAPTISTE,016 - EPP AMETHIER JEAN BAPTISTE,BV05,368,COMMUNE
BONOUA-017-BV01,017,PLACE PUBLIQUE KODJOBOUE,017 - PLACE PUBLIQUE KODJOBOUE,BV01,412,COMMUNE
BONOUA-017-BV02,017,PLACE PUBLIQUE KODJOBOUE,017 - PLACE PUBLIQUE KODJOBOUE,BV02,408,COMMUNE
BONOUA-018-BV01,018,COLLEGE JESUS-MARIE,018 - COLLEGE JESUS-MARIE,BV01,320,COMMUNE
BONOUA-018-BV02,018,COLLEGE JESUS-MARIE,018 - COLLEGE JESUS-MARIE,BV02,317,COMMUNE
BONOUA-019-BV01,019,EPP ANDRE MAUD,019 - EPP ANDRE MAUD,BV01,417,COMMUNE
BONOUA-020-BV01,020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,BV01,419,COMMUNE
BONOUA-020-BV02,020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,BV02,416,COMMUNE
BONOUA-020-BV03,020,FOYER DES JEUNES DE BONOUA,020 - FOYER DES JEUNES DE BONOUA,BV03,416,COMMUNE
BONOUA-021-BV01,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV01,344,COMMUNE
BONOUA-021-BV02,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV02,344,COMMUNE
BONOUA-021-BV03,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV03,339,COMMUNE
BONOUA-021-BV04,021,EPP YAOU C ET D,021 - EPP YAOU C ET D,BV04,336,COMMUNE
